game,date,numbers,bonus,gold_ball,scraped_at,source_block_index
Lotto Max,2010-10-08,"[3, 4, 5, 8, 13, 22, 33]",32,,2025-06-13T18:58:58.545916,54
Lotto Max,2010-10-15,"[3, 14, 17, 25, 30, 33, 39]",7,,2025-06-13T18:58:58.545916,55
Lotto Max,2010-10-22,"[12, 15, 19, 20, 28, 29, 39]",14,,2025-06-13T18:58:58.545916,56
Lotto Max,2010-10-29,"[2, 6, 21, 26, 28, 33, 47]",11,,2025-06-13T18:58:58.545916,57
Lotto Max,2010-11-05,"[7, 10, 24, 30, 35, 36, 39]",3,,2025-06-13T18:58:58.545916,58
Lotto Max,2010-11-12,"[13, 15, 17, 18, 19, 47, 49]",38,,2025-06-13T18:58:58.545916,59
Lotto Max,2010-11-19,"[4, 13, 25, 29, 36, 40, 48]",24,,2025-06-13T18:58:58.545916,60
Lotto Max,2010-11-26,"[12, 21, 23, 27, 28, 29, 37]",9,,2025-06-13T18:58:58.545916,61
Lotto Max,2010-12-03,"[1, 10, 13, 26, 43, 46, 49]",31,,2025-06-13T18:58:58.545916,62
Lotto Max,2010-12-10,"[7, 9, 12, 20, 28, 38, 44]",10,,2025-06-13T18:58:58.545916,63
Lotto Max,2010-12-17,"[1, 16, 28, 29, 33, 37, 47]",24,,2025-06-13T18:58:58.545916,64
Lotto Max,2010-12-24,"[8, 23, 25, 26, 33, 41, 43]",21,,2025-06-13T18:58:58.545916,65
Lotto Max,2010-12-31,"[2, 7, 10, 22, 32, 34, 38]",1,,2025-06-13T18:58:58.545916,66
Lotto Max,2011-01-07,"[2, 10, 13, 15, 23, 28, 49]",40,,2025-06-13T18:58:58.545916,67
Lotto Max,2011-01-14,"[2, 6, 10, 12, 24, 30, 37]",3,,2025-06-13T18:58:58.545916,68
Lotto Max,2011-01-21,"[2, 18, 19, 29, 42, 47, 49]",17,,2025-06-13T18:58:58.545916,69
Lotto Max,2011-01-28,"[7, 10, 14, 20, 21, 23, 31]",41,,2025-06-13T18:58:58.545916,70
Lotto Max,2011-02-04,"[1, 3, 13, 18, 19, 39, 48]",40,,2025-06-13T18:58:58.545916,71
Lotto Max,2011-02-11,"[4, 6, 13, 19, 26, 29, 47]",43,,2025-06-13T18:58:58.545916,72
Lotto Max,2011-02-18,"[3, 7, 12, 16, 20, 42, 48]",31,,2025-06-13T18:58:58.545916,73
Lotto Max,2011-02-25,"[3, 14, 19, 30, 32, 39, 46]",8,,2025-06-13T18:58:58.545916,74
