game,date,numbers,bonus,gold_ball,scraped_at,source_block_index
Lotto 649,,"[4, 8, 18, 27, 28, 31]",48,,2025-06-11T22:03:38.910257,8
Lotto 649,,"[6, 13, 28, 31, 34, 48]",42,,2025-06-11T22:03:38.905047,6
Lotto 649,,"[2, 4, 11, 26, 34, 37]",24,,2025-06-11T22:03:38.898882,4
Lotto 649,,"[9, 13, 25, 30, 45, 49]",8,,2025-06-11T22:03:44.391890,2
Lotto 649,,"[6, 7, 28, 32, 44, 48]",18,,2025-06-11T22:03:44.401733,6
Lotto 649,,"[9, 12, 16, 39, 47, 49]",30,,2025-06-11T22:03:49.959808,12
Lotto 649,,"[19, 31, 32, 37, 38, 39]",34,,2025-06-11T22:03:44.406822,8
Lotto 649,,"[5, 15, 17, 29, 35, 45]",25,,2025-06-11T22:03:49.955335,10
Lotto 649,,"[7, 14, 21, 30, 32, 42]",15,,2025-06-11T22:03:49.950712,8
Lotto 649,,"[12, 13, 21, 24, 46, 49]",15,,2025-06-11T22:03:49.944929,6
Lotto 649,,"[3, 4, 6, 11, 27, 39]",1,,2025-06-11T22:03:49.939986,4
Lotto 649,,"[2, 3, 6, 14, 34, 44]",35,,2025-06-11T22:03:49.935148,2
Lotto 649,,"[1, 5, 22, 25, 36, 37]",30,,2025-06-11T22:03:49.929881,0
Lotto 649,,"[2, 10, 13, 26, 35, 46]",8,,2025-06-11T22:03:47.285032,16
Lotto 649,,"[2, 5, 9, 19, 24, 44]",10,,2025-06-11T22:03:47.280436,14
Lotto 649,,"[9, 10, 12, 22, 32, 34]",47,,2025-06-11T22:03:47.274509,12
Lotto 649,,"[3, 9, 18, 25, 43, 45]",31,,2025-06-11T22:03:47.269734,10
Lotto 649,,"[4, 17, 21, 32, 33, 49]",28,,2025-06-11T22:03:47.265156,8
Lotto 649,,"[8, 13, 16, 18, 31, 43]",1,,2025-06-11T22:03:47.258121,6
Lotto 649,,"[22, 24, 28, 32, 41, 42]",25,,2025-06-11T22:03:47.253385,4
Lotto 649,,"[1, 14, 19, 27, 32, 40]",37,,2025-06-11T22:03:47.248678,2
Lotto 649,,"[3, 7, 15, 20, 31, 39]",2,,2025-06-11T22:03:47.241391,0
Lotto 649,,"[15, 19, 25, 33, 40, 42]",13,,2025-06-11T22:03:44.427857,16
Lotto 649,,"[9, 11, 26, 36, 37, 42]",24,,2025-06-11T22:03:44.422020,14
Lotto 649,,"[2, 3, 13, 27, 36, 48]",15,,2025-06-11T22:03:44.417465,12
Lotto 649,,"[13, 15, 16, 22, 23, 46]",2,,2025-06-11T22:03:44.412480,10
Lotto 649,,"[17, 22, 28, 35, 37, 41]",18,,2025-06-11T22:03:56.707789,16
