game,date,numbers,bonus,gold_ball,scraped_at,source_block_index
Lotto 649,,"[4, 9, 23, 28, 32, 39]",26,,2025-06-12T14:42:58.370186,0
Lotto 649,,"[2, 10, 12, 21, 36, 41]",33,,2025-06-12T14:42:58.380913,2
Lotto 649,,"[8, 20, 30, 39, 41, 48]",18,,2025-06-12T14:42:58.391014,4
Lotto 649,,"[2, 4, 11, 26, 34, 37]",24,,2025-06-12T14:42:58.398437,6
Lotto 649,,"[6, 13, 28, 31, 34, 48]",42,,2025-06-12T14:42:58.409746,8
Lotto 649,,"[4, 8, 18, 27, 28, 31]",48,,2025-06-12T14:42:58.416621,10
Lotto 649,,"[1, 2, 37, 38, 43, 46]",40,,2025-06-12T14:42:58.426017,12
Lotto 649,,"[7, 9, 20, 34, 38, 46]",14,,2025-06-12T14:42:58.436901,14
